Step:9200 Total_Time:671.3694791793823 Test_acc:0.3224609375
Step:9250 Total_Time:675.015472650528 Test_acc:0.323046875
Step:9300 Total_Time:678.6709368228912 Test_acc:0.32265625
Step:9350 Total_Time:682.3133275508881 Test_acc:0.3220703125
Step:9400 Total_Time:685.9589655399323 Test_acc:0.3208984375
Step:9450 Total_Time:689.6100418567657 Test_acc:0.3232421875
Step:9500 Total_Time:693.2472946643829 Test_acc:0.3248046875
Step:9550 Total_Time:696.8957691192627 Test_acc:0.3255859375
OVERALL Step:9574 Total_Time:698.7177844047546 Test_acc:0.3242318362646566
Step:9600 Total_Time:700.562828540802 Test_acc:0.3265625
Step:9650 Total_Time:704.2172503471375 Test_acc:0.3318359375
Step:9700 Total_Time:707.8629741668701 Test_acc:0.3296875
Step:9750 Total_Time:711.5025751590729 Test_acc:0.325390625
Step:9800 Total_Time:715.1517088413239 Test_acc:0.32421875
Step:9850 Total_Time:718.803017616272 Test_acc:0.3265625
Step:9900 Total_Time:722.4279725551605 Test_acc:0.3244140625
Step:9950 Total_Time:726.0775270462036 Test_acc:0.32890625
Step:10000 Total_Time:729.7172574996948 Test_acc:0.3330078125
Step:10050 Total_Time:733.3486475944519 Test_acc:0.3345703125
Step:10100 Total_Time:736.9960944652557 Test_acc:0.3333984375
Step:10150 Total_Time:740.6415500640869 Test_acc:0.334375
Step:10200 Total_Time:744.2949914932251 Test_acc:0.33203125
Step:10250 Total_Time:747.9206972122192 Test_acc:0.3310546875
Step:10300 Total_Time:751.5584332942963 Test_acc:0.3333984375
Step:10350 Total_Time:755.1915130615234 Test_acc:0.333984375
Step:10400 Total_Time:758.8309342861176 Test_acc:0.3365234375
Step:10450 Total_Time:762.4786350727081 Test_acc:0.333984375
Step:10500 Total_Time:766.1305928230286 Test_acc:0.33203125
Step:10550 Total_Time:769.778826713562 Test_acc:0.3337890625
Step:10600 Total_Time:773.471043586731 Test_acc:0.33515625
Step:10650 Total_Time:777.1123788356781 Test_acc:0.3349609375
Step:10700 Total_Time:780.7727382183075 Test_acc:0.3341796875
Step:10750 Total_Time:784.4161245822906 Test_acc:0.3369140625
Step:10800 Total_Time:788.0345900058746 Test_acc:0.3365234375
Step:10850 Total_Time:791.6729543209076 Test_acc:0.333984375
Step:10900 Total_Time:795.3139181137085 Test_acc:0.330859375
Step:10950 Total_Time:798.9448962211609 Test_acc:0.3287109375
Step:11000 Total_Time:802.5776245594025 Test_acc:0.32734375
Step:11050 Total_Time:806.2227993011475 Test_acc:0.328515625
Step:11100 Total_Time:809.8564686775208 Test_acc:0.3326171875
Step:11150 Total_Time:813.4914879798889 Test_acc:0.3302734375
Step:11200 Total_Time:817.1372017860413 Test_acc:0.3298828125
Step:11250 Total_Time:820.7850716114044 Test_acc:0.3287109375
Step:11300 Total_Time:824.4344565868378 Test_acc:0.3298828125
Step:11350 Total_Time:828.0784640312195 Test_acc:0.33203125
Step:11400 Total_Time:831.725656747818 Test_acc:0.33125
Step:11450 Total_Time:835.3759326934814 Test_acc:0.330078125
OVERALL Step:11489 Total_Time:838.2958769798279 Test_acc:0.33245655360134
Step:11500 Total_Time:839.0394043922424 Test_acc:0.332421875
Step:11550 Total_Time:842.695484161377 Test_acc:0.3326171875
Step:11600 Total_Time:846.3449211120605 Test_acc:0.333984375
Step:11650 Total_Time:849.9806959629059 Test_acc:0.3373046875
Step:11700 Total_Time:853.6278305053711 Test_acc:0.3353515625
Step:11750 Total_Time:857.2823066711426 Test_acc:0.33359375
